PLD (Å),LCD (Å),Sacc (m2/g-1),φ,NCO2 at 1 bar (mol/kg)
25.90948,26.12067,2783.37012,0.80742,0.3040478719
13.98639,14.17973,1796.29004,0.66152,0.4753470261
8.57867,9.57067,4931.25977,0.74281,2.413899832
17.10324,17.25067,1967.12,0.70002,0.4015936554
15.86913,16.40349,1832.97998,0.6872,0.6058127539
20.19841,20.61346,2507.05005,0.77062,0.2859769903
22.66778,22.92078,2242.6499,0.76332,0.3383174712
16.94757,17.2834,1699.20996,0.66677,0.4861632305
23.83385,24.09674,2371.16992,0.76723,0.3169343196
21.39547,21.51866,1957.12,0.72841,0.3606947015
27.1104,27.16334,2454.73999,0.78732,0.3053410294
29.12338,29.23223,2363.71997,0.79602,0.3287776277
24.12196,24.28962,2176.04004,0.75569,0.4127906554
23.4223,23.46989,1913.72998,0.73382,0.367642444
22.83808,23.04581,2083.53003,0.72595,0.3841910906
25.49763,25.7194,2030.47998,0.75616,0.4078950437
20.42364,20.6236,2146.65991,0.73714,0.3884294848
14.72101,14.86384,1826.75,0.65537,0.4927829169
23.31933,23.59523,2020.06006,0.73966,0.3761865341
33.38062,33.55266,1903.75,0.7857,0.3446753848
38.14163,38.29444,1972.93994,0.80779,0.3354529056
18.34897,18.8489,2376.45996,0.74755,0.4320779081
34.17223,34.32443,1722.66003,0.7754,0.3804112474
20.88178,21.18073,2259.71997,0.74867,0.3693291928
18.84527,19.12139,2232.67993,0.7327,0.474077052
11.40458,11.82847,1715.89001,0.62688,0.8954661455
19.60462,19.70587,2130.20996,0.73657,0.3920558598
12.21247,12.67816,1753.32996,0.65241,0.3480203263
10.51966,10.62648,1147.26001,0.52451,0.6123549922
29.43949,29.73513,2576.3501,0.79851,0.2394481635
11.36249,11.81752,1587.04004,0.60062,0.4761951133
25.57106,25.87294,2193.28003,0.75881,0.2649863868
25.52152,25.82069,2238.55005,0.76123,0.2314130556
27.08188,27.32921,2456.6499,0.79039,0.2362392484
25.57106,25.87294,2193.28003,0.75881,0.259179328
27.8263,28.08589,2475.63989,0.79148,0.2742739407
25.74682,26.03906,2176.33008,0.76268,0.1884260868
11.50736,11.99864,1713.39001,0.63608,0.2708628079
25.36985,25.71565,3347.95996,0.79845,0.2936713563
12.51715,12.95632,1588.96997,0.62212,0.3867580262
28.48568,28.5332,2389.6499,0.75774,0.4105232089
35.14301,35.24752,2645.1499,0.79061,0.3636904524
6.26088,7.27303,2316.05005,0.65096,0.9902198331
6.59713,7.29696,3786.21997,0.70345,1.407572779
6.17786,6.8944,1142.02002,0.52848,0.9485116602
11.92015,12.54201,1915,0.64136,0.7310272999
9.49049,9.80036,1371.90002,0.57542,0.3687659116
13.04774,13.2448,4273.2998,0.79045,0.7537990906
16.63282,16.67735,2979.86011,0.76519,2.0643894132
18.22884,18.48675,2782.98999,0.76477,0.3900985451
16.91517,17.24196,1963.31995,0.68326,0.4404004275
16.14146,16.26744,1849.31006,0.65913,0.4645277716
30.50054,30.62043,2643.08008,0.81819,0.6285373779
30.53322,30.65329,2650.09009,0.81846,0.614975425
33.79748,33.88417,2126.71997,0.75715,0.834324976
33.05829,33.14215,2009.68005,0.75053,1.0675391906
16.34537,16.54609,1851.02002,0.662,0.4770061778
30.44155,30.61617,1370.85999,0.71251,0.1555868237
37.29637,37.44422,1495.81995,0.7522,0.1691526022
40.0173,40.15486,1602.42004,0.77337,0.1617489532
20.93119,21.11229,1948.55005,0.68795,0.602638767
