PLD (Å),LCD (Å),Sacc (m2/g-1),φ,NCH4 at 10 bar (mol/kg)
23.35047,23.64665,1512.73999,0.66246,0.8359021986
23.33054,23.62181,1681.93005,0.69404,1.1759647096
23.1796,23.46923,1471.43005,0.66008,0.8215429238
41.06296,41.12154,3056.12988,0.8526,1.6175662821
16.54655,16.84207,1391.05005,0.63897,1.4089592282
13.41753,13.74617,1872.09998,0.67757,1.8759605135
21.38827,21.50274,2279.72998,0.75175,1.9129153865
27.70128,27.83857,2364.04004,0.78612,1.9213038309
17.50373,17.88578,1941.65002,0.72331,1.7723923497
22.06437,22.30064,1700.55005,0.71373,1.678289858
21.04661,23.73233,5283.08008,0.85428,3.1587118763
23.17624,23.40945,2195.92993,0.74871,1.8573055496
10.72475,11.19018,1651.53003,0.62165,2.0668294821
17.4324,17.68848,1446.43005,0.70397,1.1858877313
18.96217,19.42127,2941.83008,0.75835,2.2395902241
20.63214,20.85688,2091,0.7371,1.4601695029
23.24997,23.52769,2544.03003,0.77318,1.8438419525
31.96671,32.11311,3197.12988,0.80917,2.0616630168
13.4128,17.50771,5107.4502,0.87765,2.7708159706
8.17402,11.20454,4119.8999,0.76148,3.3049078383
29.13681,29.3046,1693.31006,0.75974,1.3924294818
21.00102,21.6781,2653.1499,0.78306,1.7145389219
7.64839,9.02068,3724.90991,0.71715,2.6842030423
12.62514,13.13528,1791.75,0.6224,1.1572273967
6.32576,7.33745,2401.1499,0.63589,1.6219384459
16.51179,16.92871,2255.54004,0.6617,1.8067684683
26.88207,27.08872,1641.29004,0.73506,1.5697840208
25.81935,26.00686,1565.29004,0.72041,1.5693131062
13.33488,13.7075,1332.06006,0.56729,1.2210946529
25.90948,26.12067,2783.37012,0.80742,1.9279443175
13.98639,14.17973,1796.29004,0.66152,1.3293050267
8.57867,9.57067,4931.25977,0.74281,3.4659080832
17.10324,17.25067,1967.12,0.70002,1.9787458255
15.86913,16.40349,1832.97998,0.6872,1.6843695209
20.19841,20.61346,2507.05005,0.77062,1.7192699918
22.66778,22.92078,2242.6499,0.76332,1.825952746
16.94757,17.2834,1699.20996,0.66677,1.6725546459
23.83385,24.09674,2371.16992,0.76723,1.7299169381
21.39547,21.51866,1957.12,0.72841,1.7990429451
27.1104,27.16334,2454.73999,0.78732,1.7862086215
29.12338,29.23223,2363.71997,0.79602,1.8153525073
24.12196,24.28962,2176.04004,0.75569,1.6958076675
23.4223,23.46989,1913.72998,0.73382,1.5250709417
22.83808,23.04581,2083.53003,0.72595,1.6166004118
25.49763,25.7194,2030.47998,0.75616,1.7194002084
20.42364,20.6236,2146.65991,0.73714,1.9905052156
14.72101,14.86384,1826.75,0.65537,2.1206538837
23.31933,23.59523,2020.06006,0.73966,1.6985362389
33.38062,33.55266,1903.75,0.7857,1.5630191053
38.14163,38.29444,1972.93994,0.80779,1.7180743258
18.34897,18.8489,2376.45996,0.74755,2.1638260886
34.17223,34.32443,1722.66003,0.7754,1.6922079854
20.88178,21.18073,2259.71997,0.74867,1.8096224954
18.84527,19.12139,2232.67993,0.7327,1.8668250979
11.40458,11.82847,1715.89001,0.62688,2.1652905642
19.60462,19.70587,2130.20996,0.73657,1.8011179124
12.21247,12.67816,1753.32996,0.65241,1.8413832309
10.51966,10.62648,1147.26001,0.52451,1.6124172266
29.43949,29.73513,2576.3501,0.79851,1.563365576
11.36249,11.81752,1587.04004,0.60062,2.088904334
25.57106,25.87294,2193.28003,0.75881,1.455305471
25.52152,25.82069,2238.55005,0.76123,1.366327939
27.08188,27.32921,2456.6499,0.79039,1.5995492635
25.57106,25.87294,2193.28003,0.75881,1.4388068116
27.8263,28.08589,2475.63989,0.79148,1.7110068145
25.74682,26.03906,2176.33008,0.76268,1.1748174329
11.50736,11.99864,1713.39001,0.63608,1.7861581228
25.36985,25.71565,3347.95996,0.79845,1.7326423517
12.51715,12.95632,1588.96997,0.62212,1.872063381
28.48568,28.5332,2389.6499,0.75774,2.0206191298
35.14301,35.24752,2645.1499,0.79061,1.9834979881
6.26088,7.27303,2316.05005,0.65096,2.2890458885
6.59713,7.29696,3786.21997,0.70345,2.9831458087
6.17786,6.8944,1142.02002,0.52848,1.2948862633
11.92015,12.54201,1915,0.64136,2.0805169904
9.49049,9.80036,1371.90002,0.57542,1.3255422395
13.04774,13.2448,4273.2998,0.79045,3.4680247924
16.63282,16.67735,2979.86011,0.76519,3.6753470316
18.22884,18.48675,2782.98999,0.76477,2.1570660598
16.91517,17.24196,1963.31995,0.68326,1.6664020209
16.14146,16.26744,1849.31006,0.65913,1.6963538339
30.50054,30.62043,2643.08008,0.81819,2.9270537151
30.53322,30.65329,2650.09009,0.81846,2.9027335724
33.79748,33.88417,2126.71997,0.75715,2.5554937838
33.05829,33.14215,2009.68005,0.75053,2.5589899204
16.34537,16.54609,1851.02002,0.662,1.7110186897
30.44155,30.61617,1370.85999,0.71251,1.1195658705
37.29637,37.44422,1495.81995,0.7522,1.1954639866
40.0173,40.15486,1602.42004,0.77337,1.2077846964
20.93119,21.11229,1948.55005,0.68795,1.6627581654
7.57497,8.18381,1044.51001,0.50914,1.5030983097
14.57249,14.91078,1506.82996,0.63036,1.552953471
21.06635,21.37339,1989.25,0.71635,1.5159886088
12.36421,12.71087,1272.20996,0.57985,1.6705853198
24.64043,24.84212,1538.44995,0.72837,1.7645529381
36.44792,36.62567,2082.1499,0.81324,1.7046545013
11.62102,12.05791,1695.35999,0.62837,1.7921118677
24.29876,24.85702,4905.41992,0.86639,2.9764826951
24.81518,25.07846,2244.46997,0.7598,1.5941699685
38.04305,38.19773,2399.87988,0.82307,1.6533329497
13.28883,13.57896,3916.44995,0.76002,2.1040622674
30.76962,30.9719,2415.06006,0.80164,1.5604656047
16.50094,16.85758,6083.66992,0.79999,3.110270048
11.58813,12.00768,1495.90002,0.61646,1.8418860728
17.58148,17.83307,2045.18005,0.69869,2.0207628429
18.99929,19.28654,1973.06995,0.70872,1.453468657
27.51509,27.7276,2205.48999,0.75964,1.8101591712
8.24197,9.93956,4897.37012,0.7997,3.3660884771
23.542,23.77902,1892.87,0.729,1.529004176
4.4389,5.57979,1898.06995,0.62632,1.3505820255
29.5867,29.76499,2066.01001,0.78345,1.413864766
28.13916,28.40894,1988.83997,0.76277,1.0557531299
14.94592,15.43792,1651.31995,0.64708,1.0354329581
8.77028,9.30995,1081.20996,0.52257,1.2964774118
20.88935,21.15732,1578.71997,0.6936,1.2217914536
18.74247,19.03732,2020.80005,0.71504,1.6482300587
16.38321,16.69169,1676.73999,0.64405,1.7804089521
27.93603,28.36879,4464.77002,0.87336,3.403959928
22.59156,22.84761,1797.48999,0.74526,1.6115977715
27.09128,27.2649,2301.09009,0.77957,1.6575034452
12.65159,13.08543,2429.46997,0.73592,1.5159382216
4.47493,4.72831,548.55499,0.44152,0.4023201361
18.74906,19.01356,1250.66003,0.65563,0.6699370773
16.10076,16.34232,1978.14001,0.64396,1.1826131534
20.70572,20.83582,2145.6001,0.7336,1.3016628395
19.56542,19.82916,1862.77002,0.70218,1.3659368699
15.56387,15.8315,1903.48999,0.63037,1.2427599438
16.95967,17.26725,2094.8501,0.67586,1.1109416497
18.7193,18.98333,1250.22998,0.65552,0.6653644286
20.37757,20.70945,2432.20996,0.75802,1.2992022706
23.7649,24.00488,2335.23999,0.76087,1.7895762791
13.21513,13.58611,1387.30005,0.58393,1.6437178808
14.93228,15.42068,2083.06006,0.68401,2.1857081663
16.79646,17.19289,2114.07007,0.70527,2.0200972047
8.11322,8.37051,1281.01001,0.5404,1.317121606
28.33863,28.48026,2034.71997,0.7628,1.7268774492
34.66495,34.74847,2040.41003,0.79378,1.6188096765
28.21856,28.36846,2078.56006,0.76298,1.8122685315
22.55143,22.78255,2096.11011,0.71241,1.8083829491
19.29739,19.60248,2113.45996,0.71565,1.8349859559
18.29271,18.80244,1992.07996,0.70602,1.5815447467
10.36487,10.81315,1412.91003,0.58206,1.6451454894
14.74722,15.09602,1866.30005,0.67714,1.714876299
8.8773,9.10983,2752.65991,0.69732,1.7090969978
16.90565,17.16309,2328.71997,0.73315,2.1983192438
10.31186,10.74049,1383.64001,0.58599,1.3022261213
28.42066,28.5848,2015.31006,0.75785,1.5265307413
10.29935,10.74822,1360.73999,0.58752,1.5405082
11.68196,12.07255,1561.03003,0.59834,1.9109933339
21.85306,22.19192,2624.06006,0.74832,1.6370869558
16.55631,16.69084,2356.3501,0.72162,2.2736039656
19.83084,20.07417,2064.55005,0.73589,2.7211884852
25.47826,25.67443,1828.65002,0.75441,1.6630237687
32.98954,33.17197,2545.82007,0.82105,1.8812911494
28.52823,28.71349,1758.30005,0.74683,1.5855635299
29.53836,29.71939,2011.66003,0.77171,1.5810446031
11.16409,11.52835,4582.31982,0.77138,2.4087746766
36.35398,36.5559,1944.97998,0.76718,1.1803048443
27.81985,28.02682,1583.65002,0.69526,1.1897375235
15.82205,16.15913,1712.34998,0.66969,1.482034246
21.35269,21.60545,1381.81995,0.68136,1.2709992036
28.2693,28.47879,2360.20996,0.78886,1.6054266374
41.07724,41.24383,1907.06006,0.80898,1.5885058013
19.92352,20.13649,2879.78003,0.77849,1.996621738
44.50286,44.62077,1887.98999,0.83009,1.6690082132
17.09611,17.39366,1659.09998,0.67767,1.6198647094
16.26602,16.67361,2131.90991,0.70402,1.6569554272
15.36758,15.76388,1810.34998,0.68822,2.3453595007
14.96924,15.41147,1938.79004,0.66975,2.1673073892
14.55347,15.19586,2288.90991,0.71468,2.4804012959
15.85733,16.11386,1812.71997,0.68801,2.5193904016
19.25408,20.34648,4395.37012,0.8146,2.679286561
14.94037,15.46864,2814.65991,0.70043,1.9103244695
31.3507,31.51253,2261.34009,0.79155,1.6365499534
11.97745,12.44176,4658.93994,0.77395,2.4539797115
28.1713,28.37474,2246.47998,0.77384,1.9322764566
26.34024,26.55682,2243.38989,0.75736,1.6276695086
29.81255,30.06839,2373.1001,0.80377,1.6927185111
29.49294,29.80022,2957.13989,0.83203,1.7398385033
25.37122,25.53746,1749.21997,0.70203,1.2868285244
22.0542,22.18069,1704.53003,0.71753,1.4838226182
17.73555,18.05831,1334.54004,0.63922,0.7712898834
21.15099,21.41237,1516.95996,0.69367,1.4344618783
20.68944,20.97455,1843.23999,0.7138,1.5961438241
18.03681,18.36341,1882.62,0.67832,1.4041380523
22.64663,22.85845,1715.53003,0.71193,1.6510407756
20.88746,21.0995,1407.05005,0.68956,1.2639490782
20.64125,20.89313,1643.22998,0.71912,1.8701086621
22.37432,22.62252,1887.52002,0.73552,1.5090592858
7.16577,7.81506,1780.32996,0.59717,1.9565274198
10.86359,11.68718,2164.44995,0.65682,2.0978530178
15.87436,16.28451,2134.19995,0.68337,2.2228285534
15.50749,15.91587,2692.23999,0.73139,2.515287545
32.91403,33.05042,5827.43994,0.95527,2.0864985685
15.16923,15.39922,12038.5996,0.89924,1.7153245576
23.44404,23.82758,1889.14001,0.70641,1.4735338864
26.57146,27.21944,2947.63989,0.79284,2.5703729154
10.44122,11.07816,1492.72998,0.60426,1.8225973421
